TRAVEL_MODE,ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
WK,1123058,1123059,1,1.1190061131620819
PT,1114074,1111079,1,17.880554994282278
PT,1108062,1120063,1,14.166580470172626
PT,1106088,1106071,1,2.7288658054559605
WK,1117052,1117071,1,0.6070213684253275
PT,1120071,1112071,1,14.928200002805516
WK,1101053,1102052,1,1.1524744831155418
VH,1123063,1105057,1,7.737448873310714
PT,1107059,1111051,1,3.4969805571087362
WK,1105064,1105060,1,0.826172889970726
PT,1125054,1125073,1,2.8432570212484025
VH,1120053,1120071,1,1.2685762414021267
WK,1122064,1122065,1,1.8281627901796644
PT,1123075,1124077,1,3.5840136434366174
WK,1123052,1122057,1,1.124356636091318
PT,1101061,1106082,1,4.294473493163068
WK,1121062,1121062,1,0.0
PT,1113068,1112057,1,3.440051796320905
WK,1121073,1121073,1,0.0
VH,1110051,1111052,1,3.4968358090328233
PT,1101073,1120056,1,11.19980331560222
PT,1112051,1113075,1,4.675768238929765
WK,1101053,1101053,1,0.0
VH,1123064,1123071,1,3.2231449575984636
WK,1123052,1123052,1,0.0
WK,1122064,1122064,1,0.0
WK,1117072,1117067,1,0.7963362678350143
PT,1116067,1116052,1,3.0618739713028646
WK,1123060,1123060,1,0.0
WK,1104062,1104072,1,0.8658169034248673
PT,1123064,1110063,1,17.18832609685982
PT,1113069,1113076,1,1.4575350509419127
PT,1116073,1117054,1,7.231547112895623
WK,1118061,1118057,1,1.1779717688671574
VH,1110060,1110061,1,0.7222811594188547
WK,1103073,1103058,1,1.6464053721118879
PT,1109073,1123058,1,11.95240879894898
VH,1102057,1101067,1,2.4730506499476608
WK,1105058,1105058,1,0.0
PT,1121052,1123058,1,11.632402650943012
PT,1102054,1106080,1,6.999172670336303
VH,1124059,1124065,1,2.352882072422581
PT,1105058,1124052,1,4.031811758478625
PT,1101064,1101064,1,0.0
WK,1108066,1108062,1,0.6038522497783502
PT,1101069,1102055,1,3.0466911512926607
WK,1109069,1108065,1,1.718028545163692
PT,1123065,1110051,1,17.327161938804828
WK,1119076,1119076,1,0.0
PT,1103053,1114077,1,1.455944893515939
PT,1116054,1101053,1,11.007904001176545
PT,1120071,1124067,1,14.767100681338194
WK,1123051,1122055,1,1.1619799703972697
WK,1122067,1122066,1,2.906371519207784
WK,1124079,1124079,1,0.0
PT,1122062,1119062,1,10.930707240515641
PT,1124077,1121072,1,17.44644735506325
WK,1107071,1107071,1,0.0
WK,1115052,1116053,1,1.2634017489453664
PT,1103063,1120071,1,1.3761524971397519
PT,1111058,1111052,1,2.1388140459014457
WK,1102054,1102054,1,0.0
PT,1119073,1117051,1,2.4093501047510846
WK,1120073,1120073,1,0.0
PT,1119054,1115062,1,7.6431508282214935
PT,1107060,1101072,1,10.055525817175436
VH,1120071,1119054,1,3.967651979010414
VH,1108060,1119073,1,13.204281743353969
PT,1112051,1112057,1,2.494294477344586
VH,1120068,1120068,1,0.0
PT,1105065,1124077,1,1.86550828139613
WK,1111079,1111079,1,0.0
VH,1113076,1122064,1,12.288748276174221
PT,1108068,1101053,1,6.283178170688546
PT,1114066,1116051,1,4.0162098726795366
PT,1124079,1102055,1,9.774514271832212
PT,1105065,1123064,1,5.267927987570217
PT,1117054,1118051,1,1.29688574009005
PT,1101063,1111074,1,10.748985759674696
PT,1123075,1124082,1,3.6347195685243547
PT,1123078,1123074,1,4.11140772858808
PT,1113071,1113070,1,1.2033501696943347
VH,1117069,1118054,1,7.360380108816272
WK,1106084,1106087,1,1.7396876035663549
PT,1114074,1108066,1,12.88552161412699
VH,1117056,1119067,1,1.5095863205078124
WK,1125074,1125063,1,1.120746090566637
PT,1115072,1114073,1,6.157294314949785
PT,1116058,1119054,1,8.430248256202779
WK,1111053,1111053,1,0.0
WK,1107071,1107071,1,0.0
WK,1117054,1117055,1,0.8522525104568291
PT,1121080,1121080,1,0.0
