DESTINATION_SUBZONE,COUNT
1101072,94
1123052,314
1101053,149
1113062,66
1101056,38
1112068,39
1101055,35
1112072,77
1113075,236
1112059,80
1102054,141
1114060,59
1112051,106
1123058,393
1105054,94
1115053,51
1108060,147
1124077,172
1112073,84
1106071,61
1112060,53
1125053,76
1123064,702
1101054,19
1113066,79
1101061,371
1102069,66
1108068,62
1109071,106
1113064,105
1102055,319
1113076,160
1113071,52
1108063,64
1101057,34
1101058,25
1102052,126
1101063,84
1112071,183
1112052,178
1101064,69
1101060,26
1102060,77
1122066,269
1117054,271
1119054,699
1113073,106
1102059,98
1107052,39
1106081,218
1114075,59
1111065,55
1111066,120
1101073,126
1108081,70
1106080,102
1119074,248
1122053,362
1109065,76
1108066,151
1123060,169
1108059,14
1111074,30
1111079,123
1110053,55
1111078,104
1125073,210
1108058,38
1104068,129
1108061,60
1102057,70
1101067,44
1123079,253
1110059,73
1124071,170
1101068,17
1108084,95
1101071,15
1101069,40
1106083,106
1102067,59
1123059,177
1119073,134
1114066,281
1102071,76
1113052,47
1101070,20
1123051,245
1103073,270
1106088,99
1118051,354
1114078,156
1105055,73
1105063,205
1123078,166
1103053,85
1103051,59
1120063,51
1119076,201
1119056,125
1122060,207
1102058,27
1106072,54
1103069,33
1103072,89
1107071,120
1104066,91
1104058,46
1102068,70
1104054,101
1103063,107
1102070,27
1102065,42
1102072,30
1103074,105
1122062,108
1104073,93
1125066,84
1107073,108
1123053,178
1105061,80
1122058,41
1106087,206
1104052,50
1102073,30
1125074,134
1124069,206
1104071,58
1104056,129
1114073,201
1113074,44
1114069,73
1118060,54
1120065,96
1120052,66
1103071,40
1120071,112
1103070,24
1103065,89
1103052,39
1103057,35
1117071,174
1114077,147
1114059,66
1120055,40
1103058,45
1120072,120
1103059,29
1121065,37
1114063,49
1115059,47
1119055,75
1124080,184
1114074,206
1114076,81
1123066,140
1122059,60
1121073,121
1103064,18
1120053,125
1121069,80
1104067,118
1103066,20
1104059,35
1104072,49
1125055,118
1104065,148
1104057,34
1104055,106
1105053,116
1105066,126
1108082,108
1104070,77
1107060,69
1106082,166
1105062,74
1121064,63
1108083,182
1123077,133
1121080,79
1108085,77
1111077,120
1108062,53
1104062,27
1123067,85
1106086,43
1122067,197
1112058,76
1121062,58
1122052,161
1124079,125
1107069,85
1104069,25
1123075,75
1105059,59
1122051,171
1105067,91
1124066,79
1123073,109
1109070,101
1122056,22
1105057,39
1110063,92
1118052,160
1125061,46
1105064,75
1105060,101
1105058,61
1105065,155
1105056,38
1107055,43
1123065,180
1124065,70
1106089,90
1123063,121
1107054,22
1124067,55
1107059,99
1124059,101
1124068,116
1124060,119
1125070,19
1111073,80
1107062,31
1125065,88
1110065,55
1118059,40
1125058,40
1124061,95
1124051,36
1111058,113
1124058,100
1124057,85
1111056,112
1107070,61
1106073,88
1110064,55
1106091,51
1109074,65
1114068,75
1109060,66
1107064,75
1108077,58
1106084,57
1124064,44
1116069,104
1122054,92
1108064,45
1125071,24
1119062,94
1112074,100
1107061,60
1111064,57
1111072,54
1115058,40
1108076,19
1111060,65
1106090,43
1123071,97
1111069,51
1122057,76
1107068,45
1107057,47
1107065,41
1117061,113
1113068,85
1109075,80
1120073,72
1110062,148
1109063,76
1108072,52
1109069,63
1122055,80
1108071,77
1110052,83
1108065,93
1110060,73
1109072,76
1109073,38
1108078,41
1117072,77
1115051,324
1116061,63
1116052,35
1110055,114
1109061,54
1111053,82
1111051,69
1111052,63
1109062,48
1109064,56
1110061,57
1110051,45
1117064,82
1115066,200
1110056,47
1110057,96
1110054,48
1111061,66
1120054,56
1124081,73
1115052,62
1116071,90
1111059,21
1111076,46
1123080,131
1119061,146
1112057,106
1112056,83
1112067,69
1112055,82
1113069,28
1116064,177
1114072,105
1113065,25
1112066,24
1112065,32
1113072,48
1119071,15
1117056,148
1114071,74
1119067,49
1113070,81
1120067,32
1122061,53
1116051,81
1116074,102
1114070,78
1119070,53
1118057,144
1114061,38
1117051,190
1116070,90
1119065,68
1116053,46
1119063,25
1115072,107
1116065,55
1115064,85
1116054,168
1116057,58
1116063,92
1117062,65
1115071,159
1116072,64
1115069,125
1116059,36
1117069,74
1117067,25
1116058,44
1115063,39
1115062,24
1115054,38
1115057,45
1116073,84
1116055,86
1115070,92
1115065,78
1115061,21
1116067,121
1115060,21
1120068,126
1123072,164
1117065,45
1116066,46
1120056,78
1117052,60
1118061,61
1118055,110
1119066,35
1121061,47
1121057,50
1117055,51
1121058,59
1119075,26
1119068,75
1121063,37
1118053,37
1117070,30
1121078,90
1121083,94
1120069,85
1118058,107
1124052,160
1118054,66
1121052,53
1121081,53
1121068,33
1120070,127
1119072,41
1121066,30
1121071,33
1119069,26
1120066,16
1122064,108
1122068,77
1122065,113
1123076,123
1121079,45
1122063,100
1121082,50
1121054,10
1121072,19
1124062,47
1124063,107
1123074,82
1125067,62
1125063,92
1123068,95
1125059,51
1124054,25
1124075,77
1125072,120
1124053,31
1124056,56
1124055,49
1125054,88
1124082,14
1124078,33
1125056,32
1107072,5
