DESTINATION_SUBZONE,COUNT
1101072,228
1101053,185
1102055,442
1113075,450
1102060,118
1101061,449
1102054,245
1120071,448
1112072,291
1103071,310
1112051,229
1101054,43
1101060,41
1101055,66
1101056,48
1114078,354
1108081,131
1113076,387
1108064,128
1109065,128
1108065,178
1112052,343
1114077,242
1101057,157
1113052,209
1113073,271
1101058,67
1102052,99
1113062,241
1113065,100
1101064,129
1101063,58
1123051,231
1101067,115
1101069,203
1101071,46
1102069,216
1102059,191
1101073,383
1108082,257
1106081,279
1102058,56
1106082,450
1108060,419
1108084,260
1108083,510
1111060,213
1101068,65
1101070,64
1108061,161
1103052,198
1104052,148
1102057,140
1102067,290
1114060,153
1106083,273
1123079,396
1102071,170
1102068,158
1103051,368
1103053,365
1120073,255
1103073,246
1122051,233
1122053,359
1104073,175
1104072,185
1119054,692
1102065,150
1102072,82
1103074,235
1102073,87
1102070,84
1104056,259
1104070,167
1123066,220
1104057,155
1104059,129
1104055,189
1123058,291
1123064,616
1104071,92
1113074,225
1115062,167
1115058,57
1114075,181
1114066,505
1114069,301
1119076,251
1103072,217
1106080,354
1114059,186
1103065,157
1103066,40
1103070,260
1120053,306
1103058,177
1116055,268
1103057,87
1106072,291
1119067,51
1115054,70
1111079,399
1103059,85
1103063,169
1113069,47
1114063,103
1114073,519
1103064,6
1111056,208
1103069,97
1122054,148
1122052,278
1117071,379
1104054,192
1125061,207
1123072,401
1105060,146
1116061,121
1114076,182
1104065,229
1104067,215
1125073,401
1123059,230
1123073,353
1124063,240
1105054,238
1113070,247
1125074,406
1105063,674
1104066,151
1108068,91
1106086,185
1105053,266
1125063,269
1104062,136
1105064,161
1104058,100
1104068,72
1122067,258
1123065,203
1105066,508
1105065,293
1123078,166
1105067,238
1124071,241
1104069,46
1106091,234
1123052,484
1106087,360
1125065,224
1117054,562
1105055,202
1105056,256
1105061,316
1105059,152
1105057,89
1124081,183
1105058,298
1105062,175
1107071,430
1107054,127
1107052,77
1124079,258
1107055,133
1107057,194
1125059,138
1124067,140
1119073,184
1124075,128
1124077,269
1108085,202
1122057,251
1124057,53
1124080,162
1123077,163
1110061,203
1106071,262
1106089,393
1111066,219
1117055,288
1106084,200
1106088,329
1106073,286
1107062,69
1110059,301
1125055,130
1124058,133
1120072,298
1110064,127
1110060,224
1106090,204
1108071,210
1107061,119
1108076,69
1107060,173
1107073,234
1107068,129
1107059,293
1107064,393
1111061,267
1107069,227
1111074,102
1107065,109
1107070,159
1111051,248
1111073,198
1110055,375
1120065,288
1110056,135
1108066,407
1117070,150
1108058,61
1109069,221
1113066,185
1108063,140
1108062,93
1125066,190
1118052,336
1108072,166
1117072,182
1109071,272
1122059,101
1110062,369
1109070,282
1109063,399
1120052,141
1109062,133
1109072,157
1108078,112
1111052,165
1117056,338
1108077,237
1111058,174
1109061,194
1109064,128
1109060,291
1109075,228
1109074,161
1109073,121
1110051,161
1110063,331
1110053,67
1110054,236
1110052,225
1111076,183
1121061,182
1111077,356
1111069,114
1110065,203
1110057,79
1124066,55
1111053,142
1111059,61
1111078,201
1111064,239
1111065,163
1111072,139
1119074,298
1112058,180
1112059,174
1112073,251
1112060,270
1113071,144
1112074,160
1114072,249
1112056,263
1112071,253
1113068,227
1112055,318
1123060,251
1112065,239
1112057,289
1112066,117
1122063,224
1114074,283
1113064,399
1113072,235
1112067,233
1112068,204
1122055,211
1120056,292
1119056,367
1114071,168
1114070,251
1119055,110
1124053,113
1115065,119
1114061,74
1114068,73
1121052,244
1115051,487
1115072,226
1115069,238
1115064,223
1115052,202
1115071,181
1118051,423
1117051,436
1115066,532
1115070,117
1122060,148
1116051,266
1115053,203
1116069,138
1116053,212
1122066,213
1119061,225
1115063,156
1116052,166
1116057,82
1116067,240
1119062,167
1116073,261
1115059,126
1115057,75
1116063,250
1115061,18
1115060,121
1116074,266
1117069,217
1123080,331
1116071,241
1123053,160
1119065,292
1120070,326
1117062,99
1116059,104
1116058,115
1116054,484
1120063,84
1116066,56
1116064,185
1116072,235
1116065,221
1116070,211
1117061,352
1119070,135
1117052,87
1117064,267
1117067,100
1120069,140
1118055,324
1118054,245
1117065,110
1119071,63
1118057,475
1121069,225
1118053,254
1118061,272
1121083,441
1121080,206
1118060,213
1118058,175
1123067,79
1118059,207
1119075,43
1121079,138
1121062,322
1121073,437
1119063,99
1120068,361
1119066,54
1119072,37
1119068,246
1119069,27
1121057,136
1121072,147
1120054,115
1120055,216
1121078,209
1122062,156
1120067,127
1122065,267
1120066,86
1121063,40
1122064,210
1122061,44
1121068,313
1121064,73
1121058,88
1121054,40
1123075,63
1121066,258
1121082,276
1124069,291
1124068,118
1121065,183
1121081,316
1121071,109
1124059,140
1122068,88
1123063,181
1122058,49
1122056,67
1123071,114
1123074,240
1123068,105
1124060,159
1123076,183
1124052,108
1124051,22
1125072,148
1125067,88
1124055,154
1124054,25
1124056,81
1124064,22
1124062,150
1124065,60
1125070,27
1124061,206
1125053,219
1124082,2
1124078,102
1125054,212
1125056,145
1125071,38
1125058,87
1108059,8
1107072,3
