ORIGIN_SUBZONE,COUNT
1101072,96
1123058,397
1102054,127
1101056,35
1102055,318
1101053,145
1112059,73
1112055,83
1112051,112
1113062,67
1113075,213
1112072,74
1101055,33
1114060,61
1123052,306
1112060,55
1124077,155
1106071,68
1102060,76
1112073,90
1105054,99
1108060,152
1125053,68
1115053,50
1101054,19
1123064,723
1101061,379
1101067,39
1109071,108
1102069,75
1108068,63
1108065,85
1113071,49
1113064,95
1113076,161
1101057,33
1112071,184
1112052,186
1101058,23
1101063,89
1113065,26
1102052,121
1101064,65
1102065,46
1102059,114
1101060,24
1117054,262
1122066,277
1119054,718
1113068,90
1104068,126
1124080,202
1107052,41
1106081,217
1114075,63
1108081,72
1111066,118
1111065,55
1108059,7
1101073,134
1122053,349
1125073,223
1106080,103
1119074,258
1108084,93
1111074,34
1111079,118
1124071,165
1109065,74
1113073,90
1123079,257
1111078,83
1123060,176
1110053,60
1108058,36
1108061,62
1110059,74
1102057,73
1101071,13
1101069,68
1102067,62
1102071,80
1108082,99
1106083,114
1123059,157
1114074,210
1101070,20
1103073,258
1123051,234
1123077,141
1106088,108
1118051,349
1102068,62
1105063,209
1103053,97
1105055,74
1114078,154
1123078,168
1103051,61
1120063,52
1120073,75
1122060,196
1119056,131
1114066,282
1102058,28
1106072,58
1113052,54
1103069,35
1104058,43
1107071,117
1104066,103
1119076,206
1103063,110
1104054,98
1102070,19
1102072,31
1117051,189
1103074,111
1108066,153
1125066,77
1122062,110
1104073,83
1115072,112
1123053,178
1104059,35
1105061,85
1106087,189
1104052,49
1122058,37
1102073,29
1125074,130
1124069,204
1104071,54
1114076,78
1104056,138
1113074,47
1114077,153
1114069,69
1119055,81
1114073,180
1118058,116
1103058,42
1103072,92
1103065,89
1120071,112
1103070,30
1120065,106
1103052,44
1119073,134
1117071,181
1114063,46
1103057,31
1103071,43
1120055,43
1114059,62
1106082,172
1120072,133
1103059,29
1121068,30
1114068,84
1115059,45
1114071,77
1123066,134
1122059,63
1121073,134
1103064,20
1120053,117
1104067,116
1122051,160
1103066,15
1104055,104
1104057,40
1104072,50
1104065,149
1105053,123
1107060,70
1106073,87
1104070,80
1123072,181
1105062,69
1122052,154
1108083,187
1105056,39
1111077,125
1108085,80
1121080,78
1108062,57
1104062,26
1106086,37
1123067,87
1107069,84
1124079,106
1104069,20
1123075,76
1125055,110
1105066,135
1107065,48
1105059,61
1124066,75
1105067,90
1123073,111
1109070,100
1122056,26
1105057,38
1118052,148
1105064,76
1105065,147
1105058,61
1107055,42
1123065,184
1124065,76
1105060,91
1123063,126
1106089,87
1107054,15
1124060,107
1124081,65
1124059,109
1107059,95
1124058,100
1125061,50
1125070,12
1125065,94
1107062,29
1111073,75
1122057,84
1124051,42
1110065,54
1118053,39
1111058,104
1124068,114
1125058,32
1106091,63
1124061,90
1111056,103
1107073,111
1107070,52
1110062,149
1110064,54
1110063,105
1107064,81
1109060,66
1119066,35
1109074,63
1108077,61
1108072,55
1106084,59
1116069,105
1124064,57
1108064,47
1112074,102
1119062,83
1108071,70
1111064,62
1109072,80
1108076,25
1107061,59
1111072,57
1111061,68
1111060,68
1115058,32
1106090,44
1109064,56
1107057,52
1107068,41
1117061,114
1109075,79
1109063,73
1108063,56
1122055,78
1109069,60
1110052,80
1110060,72
1111069,42
1109073,33
1108078,36
1117072,76
1115071,157
1116052,45
1116061,66
1110055,130
1109061,51
1115051,345
1111051,75
1111053,82
1111052,57
1109062,49
1121069,84
1110061,56
1110051,40
1115066,197
1110056,43
1110057,95
1122067,226
1110054,48
1111059,29
1116071,93
1115052,57
1121063,23
1111076,50
1123080,129
1122054,89
1119061,145
1112068,45
1116064,183
1112056,83
1112058,80
1112067,66
1113069,21
1112057,106
1114072,102
1112066,17
1112065,35
1113072,53
1113066,80
1117056,142
1119072,44
1116054,164
1113070,91
1122064,106
1120067,27
1119069,12
1119070,64
1116051,77
1116074,101
1114070,74
1114061,34
1115065,79
1116070,87
1116053,42
1120054,56
1118057,147
1119063,29
1116065,61
1120052,54
1115064,81
1116058,45
1116057,54
1116063,93
1121064,67
1116072,65
1115069,127
1116059,40
1117062,63
1117067,28
1117069,77
1115063,37
1116067,115
1115062,26
1115054,44
1116073,88
1115070,87
1115057,47
1116055,87
1115061,18
1115060,26
1120068,123
1119065,68
1117065,50
1116066,46
1117052,55
1120056,75
1119071,15
1118061,59
1117064,84
1118055,98
1121061,48
1117055,54
1121057,49
1119075,32
1121058,57
1119068,82
1117070,29
1121078,97
1121072,18
1120069,76
1121083,92
1118059,41
1121065,31
1124052,162
1118060,58
1118054,62
1121081,55
1121052,55
1120070,124
1121066,35
1121071,32
1123076,131
1119067,36
1120066,18
1122061,44
1122065,118
1122068,72
1122063,107
1121082,46
1121054,16
1123074,77
1121079,41
1121062,58
1124067,58
1124062,48
1124063,104
1124057,85
1123071,89
1123068,92
1125063,76
1125059,51
1124054,28
1124075,73
1125067,46
1125071,18
1125072,114
1124053,35
1124056,65
1124055,46
1125054,92
1124082,13
1124078,39
1125056,38
1107072,5
