ORIGIN_SUBZONE,COUNT
1101072,228
1101053,185
1102055,453
1113075,434
1102060,127
1101061,432
1120071,452
1112072,295
1102054,240
1101056,50
1103071,305
1112051,224
1101060,41
1101054,43
1101055,63
1114077,250
1108081,136
1108082,251
1113076,387
1108063,134
1109075,227
1108064,129
1112052,329
1109065,126
1101058,68
1101057,159
1113062,245
1113052,204
1113073,280
1102052,108
1113065,96
1101064,140
1101063,49
1101073,384
1123051,238
1102057,176
1101067,126
1101069,250
1101071,40
1102069,215
1102058,21
1106082,451
1102059,196
1106081,288
1108060,429
1108083,515
1108059,2
1111078,187
1101070,63
1108061,161
1103069,95
1103052,199
1104056,264
1114060,173
1108084,262
1106083,266
1123074,236
1102067,285
1102068,161
1103053,372
1103051,367
1122063,216
1103073,256
1122053,368
1122051,235
1102071,202
1104073,171
1123052,477
1119054,698
1102065,156
1104072,179
1102072,67
1103074,240
1102070,74
1102073,69
1104070,170
1104059,132
1122052,278
1123077,157
1104055,194
1123058,279
1104071,92
1123064,625
1113074,219
1114059,181
1115058,46
1114078,355
1115062,166
1114076,210
1114066,484
1114069,301
1119076,256
1114075,180
1103072,202
1106080,351
1103065,161
1103070,258
1113064,387
1120054,127
1103058,176
1116055,266
1122054,147
1103057,84
1106071,263
1119070,113
1115053,202
1111056,213
1103059,88
1103063,164
1113070,279
1114073,506
1114063,99
1119062,168
1103064,7
1123066,213
1103066,35
1122060,151
1117071,375
1104052,147
1104054,189
1125073,426
1104057,162
1123072,405
1105061,307
1116061,112
1123059,242
1104065,226
1124063,200
1105054,244
1125074,398
1105062,174
1104066,160
1108068,96
1105053,279
1106086,182
1112071,259
1104062,136
1104058,96
1104067,208
1122067,262
1104068,73
1105066,511
1105065,292
1105067,228
1123078,173
1124071,241
1104069,45
1106091,232
1106087,361
1105063,674
1125065,224
1117052,82
1105060,147
1105059,151
1105056,251
1105058,300
1124069,291
1105055,204
1105057,89
1107071,425
1105064,159
1107054,130
1107052,91
1107055,134
1107057,196
1125059,130
1124067,147
1125061,204
1119073,183
1124075,120
1124077,259
1108085,202
1124064,53
1122057,244
1124079,257
1124080,198
1124058,136
1123065,196
1106072,292
1110063,334
1106089,393
1111066,227
1117055,293
1106084,205
1106088,326
1106073,287
1107062,60
1110060,227
1125055,140
1124059,141
1120072,378
1110064,124
1110059,304
1106090,205
1108072,168
1108076,67
1107068,129
1107060,175
1107073,237
1107059,293
1111061,270
1107064,395
1107069,229
1107065,101
1111072,133
1107070,159
1107061,108
1111073,198
1111079,400
1110056,137
1120065,282
1110055,371
1117070,150
1108066,402
1108058,67
1109069,223
1113068,230
1108062,94
1108065,185
1118052,325
1108071,203
1113071,143
1125066,191
1110062,369
1117072,181
1109063,396
1122059,106
1109070,290
1109071,270
1110061,197
1109062,132
1109072,151
1111052,174
1111051,240
1108077,234
1117056,334
1108078,112
1111058,181
1109061,184
1109064,140
1109060,298
1109074,149
1109073,119
1110051,169
1122055,223
1110053,68
1110054,230
1110052,224
1111064,247
1121064,98
1110057,82
1111077,363
1110065,196
1111065,165
1111074,102
1111059,53
1111053,139
1111060,214
1111076,183
1111069,107
1119074,289
1112073,255
1112058,185
1112060,273
1112059,180
1113066,185
1112074,155
1112056,264
1112057,293
1112065,228
1123060,253
1112055,315
1112066,125
1122064,209
1114074,286
1113072,244
1112067,224
1114072,257
1112068,203
1114061,77
1119056,369
1113069,20
1114070,252
1119055,108
1114071,162
1124053,119
1123053,160
1115051,478
1114068,75
1121052,241
1117054,568
1115065,125
1115072,219
1118051,421
1115052,199
1115071,189
1115069,233
1117051,441
1115064,205
1115066,534
1115054,69
1115070,147
1120053,297
1116053,202
1122066,221
1116069,134
1116054,488
1115063,156
1116064,166
1116051,269
1116052,190
1116057,82
1116059,110
1116067,252
1119061,221
1115057,81
1116073,265
1116063,253
1115059,121
1115061,17
1115060,125
1116074,260
1117069,219
1123080,325
1119065,299
1120070,328
1117062,101
1116058,111
1120056,286
1116066,40
1116071,241
1116065,239
1116072,234
1116070,217
1117061,346
1117067,102
1117064,275
1120069,164
1118054,247
1118055,322
1117065,106
1119071,61
1121072,132
1118057,470
1121069,231
1118053,266
1118059,212
1121083,431
1123067,79
1118058,177
1118060,210
1118061,273
1121061,181
1121080,204
1121079,138
1121073,444
1119063,110
1119067,47
1119066,36
1120068,357
1119069,28
1119075,42
1119072,51
1119068,240
1120073,261
1120055,219
1120052,65
1121078,207
1120063,76
1121057,134
1122062,159
1120067,124
1121058,94
1122065,263
1121063,25
1120066,87
1121062,342
1121068,323
1121054,44
1121066,253
1121082,270
1124068,111
1121065,159
1121081,318
1121071,107
1123079,397
1123063,178
1122058,39
1122068,86
1122056,64
1122061,51
1123071,114
1123068,106
1123073,358
1124060,153
1123076,182
1123075,64
1124066,31
1124051,31
1124052,100
1125072,170
1125067,73
1124055,153
1124056,83
1124054,28
1124057,53
1124065,83
1124062,153
1125053,212
1124081,182
1124061,199
1124078,94
1124082,2
1125056,139
1125054,230
1125070,27
1125063,251
1125058,64
1125071,43
1107072,4
