ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
1101053,1101053,3,8,116,127
1101053,1101054,3,1,2,6
1101053,1101055,2,0,0,2
1101053,1101056,8,2,1,11
1101053,1101057,6,2,1,9
1101053,1101060,2,0,1,3
1101053,1101061,7,3,16,26
1101053,1101063,3,1,1,5
1101053,1101064,3,0,0,3
1101053,1101067,1,0,0,1
1101053,1101069,6,0,0,6
1101053,1101070,1,0,0,1
1101053,1101071,1,0,0,1
1101053,1101072,4,8,18,30
1101053,1101073,7,2,0,9
1101053,1102052,2,5,12,19
1101053,1102054,2,2,0,4
1101053,1102055,4,0,4,8
1101053,1102057,2,1,0,3
1101053,1102058,1,0,0,1
1101053,1102059,1,0,0,1
1101053,1102060,1,1,0,2
1101053,1102068,1,1,0,2
1101053,1103051,1,1,0,2
1101053,1103052,2,1,0,3
1101053,1103053,2,1,0,3
1101053,1103058,3,1,0,4
1101053,1103059,1,0,0,1
1101053,1103063,4,4,0,8
1101053,1103071,1,0,3,4
1101053,1103072,1,1,0,2
1101053,1103073,1,1,0,2
1101053,1104056,1,0,0,1
1101053,1104059,1,1,0,2
1101053,1104062,2,0,0,2
1101053,1104066,1,0,0,1
1101053,1104067,1,0,0,1
1101053,1104068,3,0,0,3
1101053,1104069,1,0,0,1
1101053,1104070,1,1,0,2
1101053,1104072,1,1,0,2
1101053,1104073,1,0,0,1
1101053,1105053,2,1,0,3
1101053,1105054,1,2,0,3
1101053,1105058,1,0,0,1
1101053,1105063,4,3,0,7
1101053,1105065,1,3,0,4
1101053,1106071,1,1,0,2
1101053,1106072,2,1,0,3
1101053,1106073,1,1,0,2
1101053,1106081,1,1,0,2
1101053,1106088,1,1,0,2
1101053,1106090,3,0,0,3
1101053,1106091,2,0,0,2
1101053,1107052,1,1,0,2
1101053,1107054,1,0,0,1
1101053,1107057,2,0,0,2
1101053,1107059,1,0,0,1
1101053,1107060,1,0,0,1
1101053,1107061,4,2,0,6
1101053,1107070,3,0,0,3
1101053,1107073,1,0,0,1
1101053,1108058,1,0,0,1
1101053,1108060,2,0,0,2
1101053,1108061,1,0,0,1
1101053,1108063,1,2,0,3
1101053,1108065,1,1,0,2
1101053,1108066,5,2,0,7
1101053,1108068,2,0,0,2
1101053,1108072,2,0,0,2
1101053,1108077,1,0,0,1
1101053,1108078,1,0,0,1
1101053,1108081,1,0,1,2
1101053,1108082,1,1,0,2
1101053,1108083,3,0,0,3
1101053,1109063,2,1,0,3
1101053,1109064,1,1,0,2
1101053,1109069,1,1,0,2
1101053,1109070,2,1,0,3
1101053,1109071,2,3,0,5
1101053,1109072,2,1,0,3
1101053,1109073,1,0,0,1
1101053,1109074,2,0,0,2
1101053,1109075,3,2,0,5
1101053,1110052,5,0,0,5
1101053,1110054,4,0,0,4
1101053,1110055,1,0,0,1
1101053,1110057,2,1,0,3
1101053,1110062,1,1,0,2
1101053,1110063,2,0,0,2
1101053,1111056,3,0,0,3
1101053,1111061,2,0,0,2
1101053,1111065,1,0,0,1
1101053,1111072,2,0,0,2
1101053,1111073,1,0,0,1
1101053,1111074,1,0,0,1
1101053,1111076,3,0,0,3
1101053,1111077,1,0,0,1
1101053,1111078,1,1,0,2
1101053,1112051,2,2,0,4
1101053,1112052,8,5,0,13
1101053,1112055,1,0,0,1
1101053,1112056,2,1,0,3
1101053,1112058,2,2,0,4
1101053,1112059,1,0,0,1
1101053,1112060,1,1,0,2
1101053,1112068,1,0,0,1
1101053,1112071,2,0,0,2
1101053,1112072,1,0,0,1
1101053,1112073,2,2,0,4
1101053,1112074,3,0,0,3
1101053,1113052,3,0,2,5
1101053,1113062,2,1,1,4
1101053,1113064,1,2,0,3
1101053,1113065,3,2,1,6
1101053,1113066,5,3,0,8
1101053,1113068,3,0,0,3
1101053,1113070,2,0,0,2
1101053,1113072,1,0,0,1
1101053,1113073,3,2,1,6
1101053,1113075,6,2,1,9
1101053,1113076,3,0,0,3
1101053,1114059,1,0,0,1
1101053,1114060,3,0,0,3
1101053,1114066,2,2,0,4
1101053,1114069,1,0,0,1
1101053,1114070,1,0,0,1
1101053,1114073,1,0,1,2
1101053,1114074,1,0,0,1
1101053,1114075,4,0,0,4
1101053,1114076,1,1,0,2
1101053,1114077,1,0,0,1
1101053,1114078,7,0,1,8
1101053,1115051,1,0,0,1
1101053,1115053,2,1,0,3
1101053,1115069,1,2,0,3
1101053,1115070,2,0,0,2
1101053,1115071,1,0,0,1
1101053,1116051,2,0,0,2
1101053,1116054,2,0,0,2
1101053,1116055,1,0,0,1
1101053,1116061,5,1,0,6
1101053,1116070,1,0,0,1
1101053,1117069,1,0,0,1
1101053,1118053,1,0,0,1
1101053,1118057,1,0,0,1
1101053,1119054,4,5,0,9
1101053,1119055,1,0,0,1
