DESTINATION_SUBZONE,LU_H,LU_W,LU_O
AMSZ01,0.3776337115072933,0.22204213938411668,0.40032414910858993
AMSZ02,0.6872246696035242,0.05726872246696035,0.2555066079295154
AMSZ03,0.655367231638418,0.14689265536723164,0.19774011299435026
AMSZ04,0.822429906542056,0.04672897196261683,0.13084112149532712
AMSZ05,0.6344086021505376,0.06451612903225806,0.3010752688172043
AMSZ06,0.6727272727272727,0.03636363636363636,0.2909090909090909
AMSZ07,0.59375,0.046875,0.359375
AMSZ08,0.3974358974358974,0.41025641025641024,0.1923076923076923
AMSZ09,0.7898550724637682,0.036231884057971016,0.17391304347826086
AMSZ10,0.08588957055214724,0.6503067484662576,0.26380368098159507
AMSZ11,0.29032258064516125,0.4193548387096774,0.29032258064516125
AMSZ12,0.26315789473684215,0.2894736842105263,0.4473684210526316
BDSZ01,0.5585284280936454,0.28428093645484953,0.157190635451505
BDSZ02,0.7796610169491526,0.03389830508474576,0.18644067796610167
BDSZ03,0.5608856088560886,0.2656826568265683,0.17343173431734316
BDSZ04,0.5420353982300885,0.07964601769911504,0.37831858407079644
BDSZ05,0.6200873362445415,0.16157205240174674,0.2183406113537118
BDSZ06,0.7249190938511326,0.1035598705501618,0.1715210355987055
BDSZ07,0.5517241379310345,0.06896551724137931,0.3793103448275862
BDSZ08,0.7333333333333334,0.09999999999999999,0.16666666666666669
BKSZ01,0.5393258426966292,0.39325842696629215,0.06741573033707865
BKSZ02,0.627906976744186,0.07751937984496124,0.29457364341085274
BKSZ03,0.7953216374269005,0.058479532163742694,0.14619883040935674
BKSZ04,0.663551401869159,0.04672897196261683,0.2897196261682243
BKSZ05,0.692528735632184,0.15229885057471262,0.15517241379310345
BKSZ06,0.5555555555555556,0.08641975308641976,0.3580246913580247
BKSZ07,0.5591836734693878,0.04897959183673469,0.39183673469387753
BKSZ08,0.7377049180327868,0.032786885245901634,0.22950819672131145
BKSZ09,0.6187050359712231,0.2446043165467626,0.1366906474820144
BLSZ01,0.0,1.0,0.0
BLSZ02,0.45535714285714285,0.3482142857142857,0.19642857142857142
BLSZ03,0.13636363636363635,0.8181818181818181,0.04545454545454545
BLSZ04,0.058823529411764705,0.9411764705882353,0.0
BMSZ01,0.1979695431472081,0.2893401015228426,0.5126903553299492
BMSZ02,0.17277486910994763,0.5654450261780104,0.2617801047120419
BMSZ03,0.5416666666666666,0.125,0.3333333333333333
BMSZ04,0.5333333333333334,0.11929824561403508,0.3473684210526316
BMSZ05,0.0421455938697318,0.42911877394636017,0.5287356321839081
BMSZ06,0.9575757575757576,0.01818181818181818,0.024242424242424242
BMSZ07,0.3034188034188034,0.3974358974358974,0.29914529914529914
BMSZ08,0.5094339622641509,0.11320754716981132,0.37735849056603776
BMSZ09,0.6083333333333334,0.15833333333333335,0.23333333333333334
BMSZ10,0.6666666666666666,0.07777777777777778,0.25555555555555554
BMSZ11,0.7241379310344828,0.05172413793103448,0.22413793103448276
BMSZ12,0.17532467532467533,0.7467532467532467,0.07792207792207792
BMSZ13,0.7222222222222222,0.1388888888888889,0.1388888888888889
BMSZ14,0.7407407407407407,0.05555555555555555,0.2037037037037037
BMSZ15,0.7215189873417721,0.050632911392405056,0.22784810126582278
BMSZ16,0.4705882352941177,0.35294117647058826,0.17647058823529413
BMSZ17,0.15328467153284672,0.6496350364963505,0.19708029197080293
BPSZ01,0.8048780487804879,0.008130081300813009,0.1869918699186992
BPSZ02,0.7636363636363637,0.03636363636363636,0.2
BPSZ03,0.8192090395480226,0.05649717514124294,0.12429378531073446
BPSZ04,0.6747572815533981,0.08737864077669903,0.2378640776699029
BPSZ05,0.5232558139534884,0.05813953488372093,0.4186046511627907
BPSZ06,0.6190476190476191,0.16666666666666666,0.2142857142857143
BPSZ07,0.4042553191489362,0.1702127659574468,0.425531914893617
BSSZ01,0.4501779359430605,0.23487544483985764,0.31494661921708184
BSSZ02,0.5607843137254902,0.1607843137254902,0.2784313725490196
BSSZ03,0.4489795918367347,0.11479591836734694,0.4362244897959184
BTSZ01,0.3592677345537757,0.15102974828375282,0.4897025171624713
BTSZ02,0.4186046511627907,0.09302325581395349,0.4883720930232558
BTSZ03,0.3469387755102041,0.163265306122449,0.4897959183673469
BTSZ04,0.6595744680851063,0.0851063829787234,0.2553191489361702
BTSZ05,0.5,0.04838709677419355,0.4516129032258065
BTSZ06,0.34831460674157305,0.2696629213483146,0.38202247191011235
BTSZ07,0.3291139240506329,0.16455696202531644,0.5063291139240506
BTSZ08,0.5,0.13636363636363638,0.36363636363636365
CCSZ01,0.07142857142857142,0.30952380952380953,0.6190476190476191
CHSZ01,0.18181818181818182,0.36363636363636365,0.4545454545454546
CHSZ02,0.12371134020618556,0.7525773195876289,0.12371134020618556
CHSZ03,0.08215962441314553,0.5633802816901408,0.3544600938967136
CKSZ01,0.63125,0.08125,0.2875
CKSZ02,0.7821782178217822,0.06435643564356436,0.15346534653465346
CKSZ03,0.5669642857142857,0.10044642857142858,0.3325892857142857
