TRAVEL_MODE,ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
PT,QTSZ11,TMSZ02,1,20.470466349771392
VH,HGSZ05,AMSZ03,1,3.4190774691386325
PT,BDSZ04,TMSZ03,1,2.01283224519501
PT,TMSZ02,KLSZ08,1,10.535874753953719
VH,QTSZ10,QTSZ04,1,1.9294285269824714
PT,WDSZ09,WDSZ01,1,1.4057969588338775
PT,BMSZ04,QTSZ11,1,5.739133031223165
WK,CKSZ05,CKSZ05,1,0.0
PT,BMSZ08,BLSZ02,1,13.15731377028266
PT,SBSZ05,DTSZ08,1,19.60875601691815
PT,WDSZ04,BMSZ07,1,15.885859723011533
PT,CKSZ05,WDSZ09,1,7.504317706258923
PT,CKSZ04,CLSZ09,1,8.119124023772914
PT,CKSZ03,DTSZ11,1,16.83680416961772
PT,ORSZ02,OTSZ02,1,2.7197464116783547
PT,BMSZ09,DTSZ11,1,2.8967278905035525
PT,BPSZ05,QTSZ05,1,9.916506624645997
PT,TPSZ02,BMSZ17,1,7.55667819061604
VH,JESZ01,JESZ04,1,1.4647010659576394
WK,BPSZ05,BPSZ05,1,0.0
WK,PGSZ03,PGSZ03,1,0.0
WK,SESZ06,SESZ06,1,0.0
PT,SGSZ07,OTSZ03,1,8.281724586471443
WK,PGSZ03,PGSZ03,1,0.0
PT,GLSZ02,RCSZ08,1,4.845494488809311
VH,HGSZ06,SGSZ06,1,1.628829512348083
WK,YSSZ09,YSSZ09,1,0.0
PT,PGSZ03,BDSZ01,1,7.591822129916991
PT,CHSZ03,BKSZ05,1,26.37280273775941
PT,PGSZ03,PGSZ04,1,1.813530848549925
PT,GLSZ04,MPSZ02,1,2.233910953350619
PT,SRSZ02,JWSZ08,1,17.727938138695727
PT,JESZ01,BPSZ03,1,6.050833876826411
VH,NVSZ01,QTSZ14,1,8.23300582162582
PT,SESZ06,YSSZ09,1,6.448116778096786
PT,JWSZ08,GLSZ05,1,22.825769428822746
PT,DTSZ11,DTSZ08,1,0.5153840911509646
PT,YSSZ03,YSSZ09,1,1.7688742052165112
PT,CKSZ02,CLSZ01,1,4.985914753038485
PT,JESZ05,JESZ08,1,2.029575303902238
PT,BTSZ01,BPSZ05,1,4.272252588092729
PT,OTSZ03,BMSZ07,1,3.882751642815869
PT,OTSZ01,JWSZ03,1,14.97273866444322
VH,TMSZ02,TMSZ04,1,1.5608180588962757
PT,OTSZ03,KLSZ01,1,5.111831034809398
PT,KLSZ09,PGSZ05,1,12.525138305142937
PT,PGSZ03,KLSZ08,1,10.45901349527432
PT,TNSZ01,CLSZ04,1,6.399099492356844
PT,TPSZ07,PLSZ04,1,4.834676756611053
VH,JESZ05,BSSZ01,1,10.32791270244851
PT,YSSZ08,YSSZ01,1,1.392918013502601
PT,TMSZ01,TMSZ02,1,1.8880896152958335
PT,KLSZ07,SBSZ04,1,16.391140508680362
PT,CKSZ03,QTSZ08,1,10.791204116050123
PT,BDSZ04,TMSZ04,1,2.300713819335355
WK,AMSZ01,AMSZ04,1,0.844896845964263
PT,BPSZ05,CKSZ05,1,2.853338000619151
PT,DTSZ08,BMSZ03,1,3.66311421329133
PT,DTSZ03,HGSZ05,1,10.209061984517064
VH,CKSZ03,QTSZ09,1,8.824193650941845
PT,TPSZ03,ORSZ03,1,4.54189674839995
PT,TMSZ02,TMSZ02,1,0.0
WK,QTSZ10,QTSZ10,1,0.0
