DESTINATION_SUBZONE,COUNT
QTSZ02,11
BSSZ02,52
BPSZ05,52
SESZ05,27
AMSZ01,124
TMSZ04,159
HGSZ06,101
DTSZ05,75
DTSZ02,65
HGSZ05,64
BTSZ01,84
NVSZ01,103
KLSZ05,22
BDSZ06,84
ORSZ03,40
DTSZ01,53
GLSZ03,80
TPSZ03,15
BDSZ04,188
NVSZ02,104
BMSZ07,52
JWSZ04,44
JESZ08,9
TMSZ03,122
BMSZ01,73
ORSZ02,92
QTSZ08,102
BKSZ05,88
BPSZ04,27
TPSZ11,15
HGSZ03,27
QTSZ14,41
YSSZ08,9
CLSZ08,12
TNSZ04,11
PGSZ05,66
BDSZ02,45
AMSZ02,29
SBSZ01,29
TPSZ06,60
TPSZ12,23
CKSZ06,35
BMSZ12,23
KLSZ01,59
QTSZ11,63
DTSZ03,76
YSSZ03,63
OTSZ03,112
PGSZ04,120
KLSZ03,6
SESZ03,157
PGSZ03,48
KLSZ08,49
SBSZ03,58
CKSZ03,71
JWSZ09,108
JESZ04,5
CLSZ04,48
JESZ05,115
BMSZ08,22
BMSZ13,18
BSSZ03,66
JWSZ03,45
HGSZ08,45
TMSZ01,27
PNSZ01,7
YSSZ09,100
WDSZ02,63
GLSZ01,28
GLSZ04,135
WCSZ01,61
DTSZ06,2
KLSZ07,40
BDSZ01,60
PGSZ02,46
CHSZ03,115
SESZ02,81
MPSZ03,63
MPSZ02,29
BDSZ03,57
TMSZ02,196
BSSZ01,154
PRSZ03,88
QTSZ09,3
SESZ04,90
SGSZ04,93
SGSZ06,86
DTSZ08,44
AMSZ06,31
SGSZ02,8
BMSZ05,39
BKSZ09,24
BPSZ03,25
BPSZ02,11
JESZ01,19
JWSZ02,24
CKSZ05,15
TPSZ02,60
RCSZ10,22
PRSZ04,7
AMSZ03,26
BMSZ11,8
YSSZ04,40
QTSZ10,36
RCSZ01,14
TMSZ05,61
SLSZ01,7
DTSZ11,58
HGSZ07,49
GLSZ05,135
AMSZ09,14
SGSZ03,36
TNSZ01,15
YSSZ02,22
PRSZ02,37
GLSZ02,33
BKSZ02,15
KLSZ06,50
ORSZ01,2
BTSZ06,5
JWSZ08,94
WDSZ03,92
BDSZ07,14
AMSZ08,9
TPSZ09,12
PRSZ05,69
TSSZ05,35
CLSZ06,34
JESZ03,40
BKSZ03,29
CHSZ02,12
PRSZ08,16
PNSZ05,1
CKSZ04,24
AMSZ10,28
BKSZ07,48
WDSZ04,25
HGSZ02,49
BDSZ05,63
KLSZ02,9
SESZ06,120
AMSZ12,10
SBSZ04,29
WDSZ05,22
BMSZ04,30
BPSZ07,2
PRSZ06,8
QTSZ01,17
SBSZ02,8
CLSZ05,12
WDSZ06,22
MPSZ01,14
CKSZ01,28
BKSZ06,9
DTSZ12,15
WDSZ09,10
SGSZ07,12
JWSZ06,7
CLSZ01,9
BTSZ02,2
BMSZ03,22
BMSZ14,7
CLSZ09,5
OTSZ04,9
BKSZ04,15
BPSZ06,5
YSSZ01,34
AMSZ04,7
HGSZ01,28
HGSZ04,54
QTSZ05,34
CKSZ02,41
SRSZ03,7
BMSZ15,9
TPSZ07,4
WDSZ01,13
SRSZ02,7
QTSZ04,5
WDSZ07,2
QTSZ13,25
BPSZ01,13
OTSZ01,3
AMSZ07,6
SRSZ01,14
CLSZ03,25
BMSZ02,25
BKSZ01,7
TPSZ01,20
QTSZ12,13
LKSZ01,2
JESZ06,7
NTSZ03,9
BDSZ08,4
BMSZ10,8
KLSZ09,8
SGSZ01,10
DTSZ04,2
BTSZ03,9
AMSZ05,13
MUSZ01,20
TPSZ04,7
SISZ01,8
DTSZ09,11
BMSZ09,9
PLSZ01,4
QTSZ15,5
BLSZ03,3
BMSZ17,15
CLSZ07,12
PLSZ05,1
BLSZ02,8
SBSZ06,2
QTSZ03,4
NVSZ03,5
JESZ09,2
PGSZ01,7
BLSZ04,2
SBSZ09,12
SKSZ04,2
BTSZ04,6
SGSZ05,10
TSSZ04,5
MUSZ03,5
QTSZ06,11
TSSZ03,4
TPSZ05,7
TPSZ10,4
YSSZ07,1
WDSZ08,7
YSSZ05,11
RVSZ05,5
TNSZ02,4
PRSZ07,2
PLSZ04,4
BTSZ07,9
JESZ02,13
SVSZ01,2
RCSZ03,2
SBSZ08,4
BLSZ01,2
SKSZ03,2
RCSZ05,2
SBSZ05,2
SKSZ01,3
RCSZ09,6
YSSZ06,1
OTSZ02,1
TPSZ08,4
TSSZ02,4
MDSZ02,2
JWSZ07,1
BKSZ08,3
DTSZ07,4
BMSZ16,4
JWSZ01,3
HGSZ09,1
BTSZ05,4
PLSZ03,1
BTSZ08,4
DTSZ10,1
RCSZ02,1
TNSZ03,1
CCSZ01,3
BMSZ06,30
CLSZ02,2
NVSZ04,1
CHSZ01,1
TSSZ06,1
JWSZ05,1
JESZ07,1
AMSZ11,1
