DESTINATION_SUBZONE,COUNT
BKSZ03,33
JWSZ09,112
SBSZ03,60
KLSZ02,4
TMSZ03,89
PRSZ02,18
QTSZ08,73
SESZ04,54
HGSZ01,31
HGSZ03,25
DTSZ05,128
AMSZ01,69
BMSZ01,30
BDSZ01,29
DTSZ11,32
KLSZ08,18
OTSZ03,101
TPSZ02,66
HGSZ08,7
GLSZ03,22
AMSZ06,20
SESZ02,52
KLSZ07,20
BMSZ08,28
AMSZ02,57
WDSZ03,109
SBSZ04,23
BPSZ05,63
BPSZ01,16
DTSZ03,38
YSSZ04,43
MPSZ02,6
GLSZ04,80
BKSZ02,20
BKSZ01,7
WDSZ02,34
WDSZ06,36
SGSZ06,57
QTSZ11,46
ORSZ03,73
BMSZ04,47
PRSZ03,61
SESZ03,93
CLSZ08,11
BMSZ07,23
BDSZ04,142
TPSZ07,10
SRSZ01,6
MUSZ01,17
SBSZ01,22
YSSZ09,91
BLSZ02,2
SGSZ04,34
RCSZ01,5
PGSZ04,44
PRSZ05,23
TPSZ06,19
YSSZ01,70
YSSZ02,26
SESZ06,113
TMSZ02,156
JESZ05,117
CKSZ06,59
KLSZ05,5
DTSZ08,69
JESZ03,40
BPSZ03,40
JWSZ03,42
RCSZ10,27
TPSZ01,18
MPSZ03,41
TPSZ12,6
GLSZ02,22
JWSZ02,20
BDSZ02,21
BSSZ02,39
BSSZ03,67
HGSZ05,54
TMSZ05,25
QTSZ04,8
BKSZ05,27
SRSZ03,10
CKSZ03,56
BSSZ01,49
CLSZ04,44
BKSZ04,18
BKSZ07,49
DTSZ02,86
QTSZ01,22
PGSZ05,30
OTSZ04,12
BKSZ06,17
AMSZ10,7
AMSZ09,18
TMSZ04,56
CLSZ06,53
WDSZ04,35
YSSZ03,51
KLSZ09,22
CKSZ05,25
KLSZ01,44
SBSZ09,7
JESZ02,22
HGSZ04,54
HGSZ06,37
OTSZ01,6
BTSZ01,36
BDSZ03,33
BPSZ04,20
BPSZ02,19
QTSZ10,22
BDSZ07,3
TPSZ03,19
MUSZ03,3
CHSZ03,14
ORSZ02,70
QTSZ14,16
AMSZ04,17
WDSZ01,36
NVSZ02,80
BDSZ06,33
JWSZ08,52
CKSZ04,17
CKSZ01,24
GLSZ05,93
HGSZ07,17
WCSZ01,16
BMSZ14,10
BMSZ02,13
JESZ01,14
JWSZ04,35
CKSZ02,21
NVSZ01,41
JESZ04,9
PGSZ03,34
QTSZ05,39
QTSZ06,25
DTSZ01,37
TPSZ04,12
TMSZ01,10
BKSZ09,6
JWSZ01,6
SGSZ07,13
PGSZ02,36
SRSZ02,6
BMSZ16,9
WDSZ05,22
BMSZ03,19
YSSZ08,8
BDSZ05,14
SBSZ02,10
TNSZ04,4
BMSZ12,3
AMSZ03,23
BMSZ13,17
JWSZ06,2
HGSZ02,30
MPSZ01,4
BMSZ09,8
BMSZ10,11
QTSZ02,9
SGSZ05,4
BMSZ17,4
KLSZ06,13
TNSZ02,6
CLSZ07,10
QTSZ15,3
JESZ06,8
DTSZ07,3
BMSZ11,11
DTSZ09,1
SGSZ03,4
BTSZ07,2
KLSZ03,8
JESZ08,8
SESZ05,22
TPSZ10,1
WDSZ09,7
AMSZ05,2
DTSZ12,2
TPSZ11,3
AMSZ12,3
CLSZ05,9
WDSZ07,1
BMSZ05,18
QTSZ03,7
CLSZ02,2
TSSZ03,1
SBSZ05,10
CLSZ09,1
BMSZ15,1
BTSZ06,1
CCSZ01,1
CLSZ03,3
TPSZ09,9
NTSZ03,3
PRSZ04,2
OTSZ02,2
WDSZ08,1
RCSZ09,3
YSSZ05,6
SGSZ01,2
RCSZ05,3
BTSZ08,3
CLSZ01,2
BMSZ06,9
GLSZ01,2
SKSZ03,1
SBSZ06,1
AMSZ08,3
DTSZ06,1
TPSZ05,2
BTSZ04,2
BKSZ08,1
PLSZ04,3
RCSZ03,3
PRSZ08,1
BTSZ03,2
AMSZ11,1
RCSZ02,1
QTSZ13,1
TSSZ04,1
