ORIGIN_SUBZONE,COUNT
BKSZ07,41
BPSZ05,61
BSSZ02,66
OTSZ01,3
HGSZ04,78
AMSZ01,95
TMSZ04,137
HGSZ05,73
SGSZ03,32
DTSZ02,74
DTSZ11,52
NVSZ01,97
DTSZ05,70
BSSZ01,139
QTSZ04,3
ORSZ03,37
GLSZ03,84
TPSZ06,37
TPSZ03,16
SBSZ03,59
BMSZ08,21
JESZ08,9
JWSZ04,53
MUSZ03,5
HGSZ06,94
WDSZ05,31
BMSZ01,60
SGSZ06,87
AMSZ09,23
BPSZ04,24
BKSZ05,67
HGSZ03,34
TPSZ11,14
QTSZ14,43
YSSZ04,50
CLSZ08,17
TNSZ04,5
PGSZ03,66
TMSZ03,148
BDSZ02,38
SBSZ01,28
AMSZ02,33
TPSZ12,24
WDSZ06,19
KLSZ01,57
BMSZ12,21
TPSZ02,78
QTSZ11,56
YSSZ03,78
NVSZ02,101
DTSZ03,98
PGSZ04,86
OTSZ03,107
KLSZ03,8
ORSZ02,93
QTSZ02,7
WDSZ03,95
KLSZ02,7
CKSZ05,24
PNSZ01,9
JWSZ09,102
CKSZ03,51
BPSZ01,24
CLSZ04,45
JESZ05,96
BMSZ13,23
SRSZ01,17
GLSZ05,131
BSSZ03,70
JWSZ02,31
HGSZ08,46
TMSZ05,64
TMSZ01,31
TMSZ02,235
KLSZ08,38
YSSZ09,83
GLSZ04,131
BDSZ07,13
CHSZ03,128
SBSZ02,11
CKSZ06,40
WCSZ01,61
KLSZ07,36
BDSZ01,61
PGSZ05,85
PGSZ02,42
BDSZ03,67
SESZ03,131
MPSZ02,19
MPSZ03,75
JWSZ03,55
PGSZ01,11
QTSZ06,9
PRSZ03,71
CLSZ01,15
BDSZ06,83
BDSZ04,174
SESZ04,112
SGSZ04,83
BTSZ05,7
AMSZ05,18
HGSZ07,50
RCSZ09,5
BMSZ05,38
BKSZ09,29
RCSZ10,18
BMSZ10,16
BPSZ02,17
BPSZ03,17
JESZ01,20
PRSZ04,10
BMSZ11,7
QTSZ10,32
BTSZ01,75
SLSZ01,7
SISZ01,11
SBSZ05,4
DTSZ01,43
SESZ02,80
SGSZ02,8
SGSZ05,7
YSSZ02,24
PRSZ02,40
YSSZ01,35
QTSZ08,100
KLSZ06,58
JWSZ08,96
BTSZ06,5
WDSZ02,48
MPSZ01,13
AMSZ08,14
TPSZ09,17
PRSZ08,18
BLSZ02,6
TSSZ05,26
CLSZ06,31
BKSZ01,11
SESZ06,126
JESZ03,39
AMSZ06,22
OTSZ04,8
CKSZ04,26
BMSZ02,25
AMSZ10,22
PRSZ05,73
QTSZ03,3
JESZ06,10
HGSZ02,54
BMSZ07,49
BMSZ04,38
KLSZ09,5
AMSZ12,11
SBSZ04,28
SESZ05,28
DTSZ08,52
JESZ02,22
TNSZ03,6
CLSZ05,12
GLSZ01,16
WDSZ04,37
BKSZ06,15
AMSZ03,36
CKSZ02,47
SGSZ01,15
BKSZ04,14
BLSZ03,3
BKSZ02,26
SGSZ07,12
GLSZ02,36
JWSZ06,7
BTSZ07,4
BMSZ09,13
BTSZ03,10
RCSZ01,15
BTSZ02,3
BMSZ03,20
BMSZ14,9
QTSZ13,25
BPSZ06,6
KLSZ05,20
SBSZ07,2
BDSZ05,58
AMSZ04,11
YSSZ08,8
BKSZ03,32
HGSZ01,24
TPSZ01,23
CKSZ01,22
ORSZ01,8
DTSZ09,8
BPSZ07,5
QTSZ05,38
YSSZ05,19
TPSZ07,3
SRSZ02,5
DTSZ12,8
WDSZ09,11
MUSZ01,15
QTSZ01,18
NTSZ03,9
WDSZ01,17
BMSZ17,9
BKSZ08,7
BMSZ15,9
QTSZ09,5
TNSZ01,13
QTSZ15,4
CLSZ07,12
PLSZ01,4
CHSZ02,8
PLSZ04,1
NVSZ03,4
PNSZ02,8
SKSZ04,2
BTSZ04,4
TSSZ04,1
BDSZ08,6
SBSZ09,7
TSSZ03,5
TPSZ05,8
PRSZ06,7
QTSZ12,10
TPSZ04,8
TPSZ10,1
RVSZ05,2
TNSZ02,3
PRSZ07,3
TPSZ08,5
TSSZ06,3
RCSZ03,2
SBSZ08,4
BTSZ08,3
WDSZ07,2
JWSZ01,6
BLSZ01,3
SKSZ03,1
CLSZ03,11
RCSZ05,2
AMSZ07,7
BLSZ04,1
SKSZ01,4
CLSZ09,3
TSSZ02,4
MDSZ02,1
DTSZ07,2
BMSZ16,7
MSSZ01,2
AMSZ11,4
JESZ04,1
PLSZ03,1
WDSZ08,4
MDSZ03,1
NVSZ04,3
RCSZ08,1
OTSZ02,2
NTSZ02,1
CHSZ01,1
SRSZ03,1
BMSZ06,1
DTSZ06,1
LKSZ01,1
JESZ10,2
RVSZ03,1
CCSZ01,2
JWSZ05,1
JESZ07,1
JESZ09,1
