ORIGIN_SUBZONE,COUNT
BKSZ03,32
JWSZ09,110
SBSZ03,54
KLSZ02,6
TMSZ03,87
TMSZ01,11
QTSZ08,77
SESZ06,115
HGSZ03,24
HGSZ01,33
DTSZ05,140
BSSZ01,49
QTSZ14,19
BDSZ01,30
DTSZ11,74
OTSZ03,90
TPSZ02,70
GLSZ03,24
HGSZ08,7
AMSZ06,20
SESZ02,49
SESZ05,22
KLSZ07,22
BMSZ09,12
AMSZ03,29
SBSZ04,25
WDSZ03,119
BPSZ01,14
BPSZ05,67
DTSZ02,78
YSSZ04,46
GLSZ04,71
MPSZ02,8
BKSZ01,8
BKSZ02,25
WDSZ02,35
WDSZ06,28
OTSZ01,10
AMSZ09,19
SRSZ02,10
SGSZ06,57
DTSZ01,47
QTSZ12,7
ORSZ03,70
BMSZ08,23
BMSZ04,43
PRSZ03,55
QTSZ13,5
QTSZ05,39
BDSZ06,33
BDSZ04,137
BMSZ07,22
BKSZ06,17
TPSZ07,11
MUSZ01,14
SRSZ01,5
SBSZ06,2
SBSZ01,25
SESZ03,96
TPSZ11,1
RCSZ01,7
PGSZ04,37
PRSZ05,26
YSSZ02,31
YSSZ01,54
TMSZ02,157
JESZ05,105
QTSZ01,25
CKSZ06,60
KLSZ05,6
JESZ03,41
BPSZ03,41
JWSZ03,43
RCSZ10,20
YSSZ09,89
TPSZ01,20
MPSZ03,35
AMSZ01,55
MUSZ03,4
TPSZ12,8
GLSZ02,26
JWSZ02,19
JWSZ04,37
SISZ01,2
BDSZ02,19
BSSZ03,60
BSSZ02,42
GLSZ05,95
HGSZ05,56
TMSZ05,27
QTSZ06,24
BKSZ05,19
PRSZ02,21
QTSZ11,43
BMSZ01,22
CKSZ03,60
CLSZ04,42
BKSZ07,51
BKSZ04,13
SGSZ03,6
CLSZ08,13
PGSZ05,31
AMSZ10,9
ORSZ02,74
WDSZ04,34
DTSZ08,29
YSSZ03,58
KLSZ09,24
CLSZ06,54
BDSZ05,21
CKSZ05,23
KLSZ01,44
JESZ01,15
HGSZ04,62
TMSZ04,53
HGSZ06,31
JESZ02,24
QTSZ03,8
HGSZ07,16
BPSZ07,2
BDSZ03,35
BMSZ06,1
BPSZ04,13
QTSZ10,15
BDSZ07,2
TPSZ03,16
CHSZ03,15
AMSZ04,26
WDSZ01,40
NVSZ01,46
OTSZ04,18
SBSZ02,7
BPSZ02,23
JWSZ08,54
DTSZ03,37
CKSZ04,13
PGSZ02,41
CKSZ01,23
PLSZ04,4
WCSZ01,15
SGSZ04,32
BMSZ02,11
BMSZ14,10
CKSZ02,25
NVSZ02,78
AMSZ05,9
AMSZ02,51
QTSZ04,9
TPSZ06,11
BMSZ05,27
BKSZ09,10
BTSZ01,37
JWSZ01,6
SGSZ07,12
PGSZ03,38
AMSZ07,2
BMSZ16,10
WDSZ05,27
TNSZ03,1
BMSZ03,18
NVSZ04,2
BMSZ12,3
BMSZ13,18
JWSZ06,2
HGSZ02,29
BMSZ10,15
QTSZ02,10
QTSZ07,1
BMSZ17,6
KLSZ08,15
KLSZ06,15
TNSZ02,6
CLSZ07,9
JESZ06,11
TPSZ04,13
TPSZ09,9
JESZ04,3
QTSZ09,2
PRSZ08,3
BTSZ07,2
KLSZ03,9
SESZ04,45
JESZ08,9
TPSZ10,1
OTSZ02,2
YSSZ08,6
TPSZ08,1
CLSZ05,8
SBSZ09,2
QTSZ15,2
TSSZ04,1
SBSZ05,12
CCSZ01,1
CLSZ03,2
MPSZ01,2
DTSZ12,4
NTSZ03,3
YSSZ05,8
WDSZ09,6
SRSZ03,3
SGSZ05,3
BMSZ11,9
BLSZ02,6
WDSZ08,1
CLSZ01,4
GLSZ01,1
SGSZ01,3
PRSZ04,1
BTSZ08,4
RCSZ05,3
RCSZ09,3
BKSZ08,3
AMSZ08,3
BTSZ04,1
BTSZ03,1
RCSZ03,2
TPSZ05,1
RCSZ02,1
RVSZ05,1
BMSZ15,1
