ORIGIN_SUBZONE,DESTINATION_SUBZONE,COUNT,TRIP_DISTANCE
AMSZ01,AMSZ01,4,0.0
AMSZ01,AMSZ02,5,0.8098454795607932
AMSZ01,AMSZ03,12,1.363824475326825
AMSZ01,AMSZ04,4,0.844896845964263
AMSZ01,AMSZ05,4,1.076953446773142
AMSZ01,AMSZ06,8,0.8041193925714387
AMSZ01,AMSZ07,3,1.7966809678861542
AMSZ01,AMSZ09,8,1.2075000973564398
AMSZ01,AMSZ10,3,1.4257238620318051
AMSZ01,AMSZ11,1,2.3270138366005146
AMSZ01,AMSZ12,5,1.3967183931881388
AMSZ01,BDSZ01,2,8.10930554643542
AMSZ01,BDSZ03,1,9.324033482938916
AMSZ01,BDSZ04,2,10.977868930744721
AMSZ01,BDSZ06,1,12.2739413863449
AMSZ01,BKSZ09,1,10.470896629921134
AMSZ01,BMSZ14,1,11.003397270593155
AMSZ01,BPSZ03,1,8.516027876012881
AMSZ01,BSSZ01,12,2.330062203630164
AMSZ01,BSSZ02,3,2.0581507632730265
AMSZ01,BTSZ01,1,9.220790745704537
AMSZ01,BTSZ05,1,6.147702781946512
AMSZ01,CHSZ03,2,17.374453729266236
AMSZ01,CKSZ03,4,11.107695253474771
AMSZ01,CKSZ04,1,12.047788265502097
AMSZ01,CKSZ05,1,11.354313187243449
AMSZ01,CKSZ06,1,11.420481375419303
AMSZ01,CLSZ03,1,11.486122613156768
AMSZ01,CLSZ04,1,10.763072495548862
AMSZ01,CLSZ05,1,11.975847670303475
AMSZ01,DTSZ02,3,8.960602715422072
AMSZ01,DTSZ09,2,10.773627633205683
AMSZ01,DTSZ12,1,10.029774078513281
AMSZ01,GLSZ02,2,6.61053355966354
AMSZ01,HGSZ01,1,4.97583748600457
AMSZ01,HGSZ02,2,5.725609110540617
AMSZ01,HGSZ03,1,5.634266954930811
AMSZ01,HGSZ04,8,4.344027574087123
AMSZ01,HGSZ05,1,3.9553115714482727
AMSZ01,HGSZ06,7,3.9212664118142064
AMSZ01,HGSZ07,4,4.765468205002923
AMSZ01,HGSZ08,2,5.565752369680329
AMSZ01,JESZ05,1,12.387201421412767
AMSZ01,JWSZ02,1,15.374364869309355
AMSZ01,JWSZ04,1,14.596999746196225
AMSZ01,JWSZ08,1,17.178032847981257
AMSZ01,KLSZ01,1,5.866287158387401
AMSZ01,KLSZ02,1,6.254116994428993
AMSZ01,KLSZ05,1,8.653294199472938
AMSZ01,KLSZ06,1,7.02346780754669
AMSZ01,MUSZ01,1,8.221492632999231
AMSZ01,NTSZ03,1,6.864485419327147
AMSZ01,NVSZ01,1,5.275934487403925
AMSZ01,NVSZ02,3,6.145691438127311
AMSZ01,ORSZ02,5,7.659554160451921
AMSZ01,OTSZ03,4,10.32472751659054
AMSZ01,OTSZ04,1,9.827767072050229
AMSZ01,PGSZ02,1,7.3065624632090005
AMSZ01,PGSZ03,3,6.498552962933096
AMSZ01,PGSZ04,2,7.568895374585283
AMSZ01,PGSZ05,3,8.190278611052214
AMSZ01,PLSZ04,1,6.0993783194600395
AMSZ01,PRSZ05,1,12.524486186739601
AMSZ01,PRSZ08,1,13.369716669301019
AMSZ01,QTSZ05,1,9.434287901469641
AMSZ01,QTSZ08,1,10.348743720863121
