ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
AMSZ01,AMSZ01,4,0,26,30
AMSZ01,AMSZ02,5,0,18,23
AMSZ01,AMSZ03,12,1,2,15
AMSZ01,AMSZ04,4,0,6,10
AMSZ01,AMSZ05,4,1,2,7
AMSZ01,AMSZ06,8,3,0,11
AMSZ01,AMSZ07,3,3,0,6
AMSZ01,AMSZ09,8,2,0,10
AMSZ01,AMSZ10,3,1,0,4
AMSZ01,AMSZ11,1,1,0,2
AMSZ01,AMSZ12,5,2,1,8
AMSZ01,BDSZ01,2,0,0,2
AMSZ01,BDSZ03,1,0,0,1
AMSZ01,BDSZ04,2,1,0,3
AMSZ01,BDSZ06,1,0,0,1
AMSZ01,BKSZ09,1,0,0,1
AMSZ01,BMSZ14,1,0,0,1
AMSZ01,BPSZ03,1,0,0,1
AMSZ01,BSSZ01,12,6,0,18
AMSZ01,BSSZ02,3,2,0,5
AMSZ01,BTSZ01,1,1,0,2
AMSZ01,BTSZ05,1,0,0,1
AMSZ01,CHSZ03,2,1,0,3
AMSZ01,CKSZ03,4,1,0,5
AMSZ01,CKSZ04,1,0,0,1
AMSZ01,CKSZ05,1,0,0,1
AMSZ01,CKSZ06,1,1,0,2
AMSZ01,CLSZ03,1,0,0,1
AMSZ01,CLSZ04,1,1,0,2
AMSZ01,CLSZ05,1,1,0,2
AMSZ01,DTSZ02,3,0,0,3
AMSZ01,DTSZ09,2,0,0,2
AMSZ01,DTSZ12,1,0,0,1
AMSZ01,GLSZ02,2,0,0,2
AMSZ01,HGSZ01,1,0,0,1
AMSZ01,HGSZ02,2,0,0,2
AMSZ01,HGSZ03,1,1,0,2
AMSZ01,HGSZ04,8,2,0,10
AMSZ01,HGSZ05,1,1,0,2
AMSZ01,HGSZ06,7,5,0,12
AMSZ01,HGSZ07,4,0,0,4
AMSZ01,HGSZ08,2,0,0,2
AMSZ01,JESZ05,1,0,0,1
AMSZ01,JWSZ02,1,0,0,1
AMSZ01,JWSZ04,1,0,0,1
AMSZ01,JWSZ08,1,0,0,1
AMSZ01,KLSZ01,1,0,0,1
AMSZ01,KLSZ02,1,0,0,1
AMSZ01,KLSZ05,1,0,0,1
AMSZ01,KLSZ06,1,0,0,1
AMSZ01,MUSZ01,1,1,0,2
AMSZ01,NTSZ03,1,0,0,1
AMSZ01,NVSZ01,1,1,0,2
AMSZ01,NVSZ02,3,0,0,3
AMSZ01,ORSZ02,5,0,0,5
AMSZ01,OTSZ03,4,0,0,4
AMSZ01,OTSZ04,1,0,0,1
AMSZ01,PGSZ02,1,2,0,3
AMSZ01,PGSZ03,3,0,0,3
AMSZ01,PGSZ04,2,5,0,7
AMSZ01,PGSZ05,3,2,0,5
AMSZ01,PLSZ04,1,0,0,1
AMSZ01,PRSZ05,1,0,0,1
AMSZ01,PRSZ08,1,0,0,1
AMSZ01,QTSZ05,1,0,0,1
AMSZ01,QTSZ08,1,0,0,1
AMSZ01,QTSZ10,1,0,0,1
AMSZ01,QTSZ11,2,0,0,2
AMSZ01,RCSZ01,1,1,0,2
AMSZ01,RCSZ03,1,0,0,1
AMSZ01,SBSZ01,2,2,0,4
AMSZ01,SBSZ03,5,0,0,5
AMSZ01,SBSZ04,1,0,0,1
AMSZ01,SBSZ05,1,0,0,1
AMSZ01,SESZ02,3,0,0,3
AMSZ01,SESZ03,4,4,0,8
AMSZ01,SESZ04,9,2,0,11
AMSZ01,SESZ05,1,2,0,3
AMSZ01,SESZ06,5,5,0,10
AMSZ01,SGSZ01,2,5,0,7
AMSZ01,SGSZ02,1,1,0,2
AMSZ01,SGSZ03,6,1,0,7
AMSZ01,SGSZ04,13,5,0,18
AMSZ01,SGSZ05,1,1,0,2
AMSZ01,SGSZ06,3,2,0,5
AMSZ01,SGSZ07,1,0,0,1
AMSZ01,SRSZ01,1,1,0,2
AMSZ01,SRSZ02,1,0,0,1
AMSZ01,TMSZ04,7,3,0,10
AMSZ01,TPSZ01,1,0,0,1
AMSZ01,TPSZ02,2,1,0,3
AMSZ01,TPSZ03,1,0,0,1
AMSZ01,TPSZ04,1,0,0,1
AMSZ01,TPSZ06,6,0,0,6
